canonical_brand,name,address,latitude,longitude,confidence_score,warnings,osm_type,osm_id,source,is_duplicate
Пятёрочка,,,60.3723503,30.3688669,0.0,ADDRESS_MISSING;SHOP_TAG_MISSING;DUPLICATE_CANDIDATE,node,10188934404,osm_pbf,True
Лента,,,59.8696342,29.8271177,0.0,ADDRESS_MISSING;SHOP_TAG_MISSING;DUPLICATE_CANDIDATE,node,10188989525,osm_pbf,True
Лента,Кудрово- ТК Лента,,59.9163774,30.5207287,0.0,ADDRESS_MISSING;SHOP_TAG_MISSING;DUPLICATE_CANDIDATE,node,10574555717,osm_pbf,True
Лента,1 ПГ,,59.9133544,29.0559641,0.0,ADDRESS_MISSING;SHOP_TAG_MISSING;DUPLICATE_CANDIDATE,node,10790315430,osm_pbf,True
Лента,2 ПГ,,59.9148028,29.0548063,0.0,ADDRESS_MISSING;SHOP_TAG_MISSING;DUPLICATE_CANDIDATE,node,10790315431,osm_pbf,True
Лента,3 ПГ,,59.9149754,29.0575809,0.0,ADDRESS_MISSING;SHOP_TAG_MISSING;DUPLICATE_CANDIDATE,node,10790315432,osm_pbf,True
Лента,,,59.5438746,30.8803373,0.0,ADDRESS_MISSING;SHOP_TAG_MISSING;DUPLICATE_CANDIDATE,node,11251225337,osm_pbf,True
Семишагофф,,,60.1116046,30.4919549,0.0,ADDRESS_MISSING;SHOP_TAG_MISSING;DUPLICATE_CANDIDATE,node,12881332188,osm_pbf,True
Пятёрочка,,,59.8044207,30.078629,0.0,ADDRESS_MISSING;SHOP_TAG_MISSING;DUPLICATE_CANDIDATE,node,13190579463,osm_pbf,True
Пятёрочка,,,59.8044198,30.0786121,0.0,ADDRESS_MISSING;SHOP_TAG_MISSING;DUPLICATE_CANDIDATE,node,13191119917,osm_pbf,True
Лента,Лента,,61.0394198,30.1169634,0.3,ADDRESS_MISSING;DUPLICATE_CANDIDATE,node,13442560801,osm_pbf,True
Пятёрочка,Пятёрочка,,59.8085222,30.8708017,0.3,ADDRESS_MISSING;DUPLICATE_CANDIDATE,node,13722605011,osm_pbf,True
Лента,Гипермаркет «Лента»,,60.0607958,30.3929423,0.0,ADDRESS_MISSING;SHOP_TAG_MISSING;DUPLICATE_CANDIDATE,node,13776892165,osm_pbf,True
Лента,Супер Лента,,59.7875944,30.0828468,0.0,ADDRESS_MISSING;SHOP_TAG_MISSING;DUPLICATE_CANDIDATE,node,13895348848,osm_pbf,True
Семишагофф,Семишагофф,"Шлиссельбург, улица Кирова, 8",59.935836821428566,31.02845759285714,0.4,GEOMETRY_UNCERTAIN;DUPLICATE_CANDIDATE,way,137215461,osm_pbf,True
Азбука вкуса,,,59.9423737,30.2256948,0.0,ADDRESS_MISSING;SHOP_TAG_MISSING;GEOMETRY_UNCERTAIN;DUPLICATE_CANDIDATE,way,286817738,osm_pbf,True
Пятёрочка,,,60.57081548,30.5119649,0.0,ADDRESS_MISSING;SHOP_TAG_MISSING;GEOMETRY_UNCERTAIN;DUPLICATE_CANDIDATE,way,502129922,osm_pbf,True
Пятёрочка,Пятёрочка,,59.835070359999996,30.512590819999996,0.0,ADDRESS_MISSING;GEOMETRY_UNCERTAIN;DUPLICATE_CANDIDATE,way,824293742,osm_pbf,True
Пятёрочка,Пятёрочка,,59.9027111,30.27415473,0.0,ADDRESS_MISSING;GEOMETRY_UNCERTAIN;DUPLICATE_CANDIDATE,way,1207595723,osm_pbf,True
