canonical_brand,name,address,latitude,longitude,confidence_score,warnings,osm_type,osm_id,source,is_duplicate,reverse_status,reverse_address,reverse_display_name,reverse_city,reverse_district,reverse_suburb,reverse_street,reverse_house_number,reverse_postcode,reverse_osm_type,reverse_osm_id,reverse_error
Лента,ТК «Лента»,"Шушары, Московское шоссе, 18",59.7996951,30.4019836,0.0,SHOP_TAG_MISSING;DUPLICATE_CANDIDATE;REVERSE_GEOCODED,node,8117445855,osm_pbf,True,found,"Шушары, Московское шоссе, 18","Татнефть, 18, Московское шоссе, Шушары, Санкт-Петербург, Северо-Западный федеральный округ, 196626, Россия",Шушары,,,Московское шоссе,18,196626,way,124100904,
Лента,"Таллинское шоссе, 159, торговый центр «Лента»","Санкт-Петербург, Таллинское шоссе",59.8078408,30.1663728,0.0,SHOP_TAG_MISSING;DUPLICATE_CANDIDATE;REVERSE_GEOCODED,node,8702586804,osm_pbf,True,found,"Санкт-Петербург, Таллинское шоссе","Таллинское шоссе, Старо-Паново, округ Горелово, Санкт-Петербург, Северо-Западный федеральный округ, 188510, Россия",Санкт-Петербург,,Старо-Паново,Таллинское шоссе,,188510,way,1085675751,
Лента,"Таллинское шоссе, 159, торговый центр «Лента»","Санкт-Петербург, Таллинское шоссе",59.8069921,30.1650407,0.0,SHOP_TAG_MISSING;DUPLICATE_CANDIDATE;REVERSE_GEOCODED,node,8702586805,osm_pbf,True,found,"Санкт-Петербург, Таллинское шоссе","Таллинское шоссе, Старо-Паново, округ Горелово, Санкт-Петербург, Северо-Западный федеральный округ, 188510, Россия",Санкт-Петербург,,Старо-Паново,Таллинское шоссе,,188510,way,172414705,
Пятёрочка,торговый центр «Пятерочка»,"Красное Село, Стрельнинское шоссе, 4 к1",59.7458887,30.091815,0.0,SHOP_TAG_MISSING;DUPLICATE_CANDIDATE;REVERSE_GEOCODED,node,8716038186,osm_pbf,True,found,"Красное Село, Стрельнинское шоссе, 4 к1","Пятёрочка, 4 к1, Стрельнинское шоссе, Скачки, Красное Село, Санкт-Петербург, Северо-Западный федеральный округ, 198320, Россия",Красное Село,,Скачки,Стрельнинское шоссе,4 к1,198320,way,51869361,
Лента,,"Сосновый Бор, улица Академика Александрова",59.9146589,29.0543988,0.0,SHOP_TAG_MISSING;DUPLICATE_CANDIDATE;REVERSE_GEOCODED,node,8777194990,osm_pbf,True,found,"Сосновый Бор, улица Академика Александрова","улица Академика Александрова, Липово, Сосновый Бор, Сосновоборский городской округ, Ленинградская область, Северо-Западный федеральный округ, 188544, Россия",Сосновый Бор,Сосновоборский городской округ,Липово,улица Академика Александрова,,188544,way,717161488,
Лента,Лента зоомаркет,"Санкт-Петербург, проспект Будённого, 31 к1",59.8518908,30.0931837,0.1,DUPLICATE_CANDIDATE;REVERSE_GEOCODED,node,8839218811,osm_pbf,True,found,"Санкт-Петербург, проспект Будённого, 31 к1","Лента зоомаркет, 31 к1, проспект Будённого, Новосергиево, округ Сосновая поляна, Санкт-Петербург, Северо-Западный федеральный округ, 198218, Россия",Санкт-Петербург,,Новосергиево,проспект Будённого,31 к1,198218,node,8839218811,
Лента,Торговый комплекс «Лента»,"Санкт-Петербург, Стартовая улица, 5",59.8101777,30.3184062,0.0,SHOP_TAG_MISSING;DUPLICATE_CANDIDATE;REVERSE_GEOCODED,node,9156234934,osm_pbf,True,found,"Санкт-Петербург, Стартовая улица, 5","Фольксваген Центр, 5, Стартовая улица, Авиагородок, округ Пулковский меридиан, Санкт-Петербург, Северо-Западный федеральный округ, 196246, Россия",Санкт-Петербург,округ Пулковский меридиан,Авиагородок,Стартовая улица,5,196246,way,58898982,
Лента,Торговый комплекс «Лента»,"Санкт-Петербург, Стартовая улица, 4",59.8100581,30.3183384,0.0,SHOP_TAG_MISSING;DUPLICATE_CANDIDATE;REVERSE_GEOCODED,node,9156234935,osm_pbf,True,found,"Санкт-Петербург, Стартовая улица, 4","Рольф Пулково, 4, Стартовая улица, Авиагородок, округ Пулковский меридиан, Санкт-Петербург, Северо-Западный федеральный округ, 196246, Россия",Санкт-Петербург,округ Пулковский меридиан,Авиагородок,Стартовая улица,4,196246,way,218651486,
Лента,Гипермаркет «Лента»,"Сосновый Бор, Ленинградская улица",59.9142375,29.053929,0.0,SHOP_TAG_MISSING;DUPLICATE_CANDIDATE;REVERSE_GEOCODED,node,9179401029,osm_pbf,True,found,"Сосновый Бор, Ленинградская улица","Гипермаркет «Лента», Ленинградская улица, Сосновый Бор, Сосновоборский городской округ, Ленинградская область, Северо-Западный федеральный округ, 188544, Россия",Сосновый Бор,Сосновоборский городской округ,,Ленинградская улица,,188544,node,8777194995,
Лента,Гипермаркет «Лента»,"Сосновый Бор, Ленинградская улица",59.9135133,29.0542239,0.0,SHOP_TAG_MISSING;DUPLICATE_CANDIDATE;REVERSE_GEOCODED,node,9179401030,osm_pbf,True,found,"Сосновый Бор, Ленинградская улица","Ленинградская улица, Сосновый Бор, Сосновоборский городской округ, Ленинградская область, Северо-Западный федеральный округ, 188544, Россия",Сосновый Бор,Сосновоборский городской округ,,Ленинградская улица,,188544,way,361881486,
