canonical_brand,name,address,latitude,longitude,confidence_score,warnings,osm_type,osm_id,source,is_duplicate,reverse_status,reverse_address,reverse_display_name,reverse_city,reverse_district,reverse_suburb,reverse_street,reverse_house_number,reverse_postcode,reverse_osm_type,reverse_osm_id,reverse_error
Пятёрочка,Пятёрочка,"Санкт-Петербург, проспект Авиаконструкторов, 10",60.012577,30.2422787,0.5,REVERSE_GEOCODED,node,536743884,osm_pbf,False,found,"Санкт-Петербург, проспект Авиаконструкторов, 10","Пятёрочка, 10, проспект Авиаконструкторов, Озеро Долгое, округ Озеро Долгое, Санкт-Петербург, Северо-Западный федеральный округ, 197373, Россия",Санкт-Петербург,округ Озеро Долгое,Озеро Долгое,проспект Авиаконструкторов,10,197373,node,536743884,
Пятёрочка,Пятёрочка,"проспект Просвещения, 48",60.0495098,30.3537977,0.9,,node,539820260,osm_pbf,False,skipped_existing_address,,,,,,,,,,,
Пятёрочка,Пятёрочка,"Санкт-Петербург, улица Ленсовета, 34",59.8472275,30.3305281,0.5,REVERSE_GEOCODED,node,571202794,osm_pbf,False,found,"Санкт-Петербург, улица Ленсовета, 34","Пятёрочка, 34, улица Ленсовета, Средняя Рогатка, округ Звёздное, Санкт-Петербург, Северо-Западный федеральный округ, 196143, Россия",Санкт-Петербург,округ Звёздное,Средняя Рогатка,улица Ленсовета,34,196143,node,571202794,
Пятёрочка,"Автостоянка при супермакете ""Пятерочка""","Волосовское городское поселение, Лесная улица",59.4512154,29.4854931,0.1,SHOP_TAG_MISSING;REVERSE_GEOCODED,node,577511857,osm_pbf,False,found,"Волосовское городское поселение, Лесная улица","Автостоянка при супермакете ""Пятерочка"", Лесная улица, Волосовское городское поселение, Волосовский район, Ленинградская область, Северо-Западный федеральный округ, 188410, Россия",Волосовское городское поселение,Волосовский район,,Лесная улица,,188410,node,577511857,
Лента,Дом Лента,"Санкт-Петербург, проспект Космонавтов, 14",59.8710571,30.349361,0.3,REVERSE_GEOCODED,node,604938975,osm_pbf,False,found,"Санкт-Петербург, проспект Космонавтов, 14","Дом Лента, 14, проспект Космонавтов, округ Гагаринское, Санкт-Петербург, Северо-Западный федеральный округ, 196244, Россия",Санкт-Петербург,округ Гагаринское,,проспект Космонавтов,14,196244,node,604938975,
Пятёрочка,Пятёрочка,"проспект Луначарского, 86 к4",60.0327798,30.3846117,0.9,,node,612184077,osm_pbf,False,skipped_existing_address,,,,,,,,,,,
Пятёрочка,Пятёрочка,"Гражданский проспект, 105",60.0264858,30.4123213,0.9,,node,612185228,osm_pbf,False,skipped_existing_address,,,,,,,,,,,
Пятёрочка,Пятёрочка,"Рощино, Железнодорожная улица, 49",60.2566768,29.5913169,0.5,REVERSE_GEOCODED,node,614493826,osm_pbf,False,found,"Рощино, Железнодорожная улица, 49","Пятёрочка, 49, Железнодорожная улица, Рощино, Рощинское городское поселение, Выборгский район, Ленинградская область, Северо-Западный федеральный округ, 188820, Россия",Рощино,Выборгский район,,Железнодорожная улица,49,188820,node,614493826,
Пятёрочка,Пятёрочка,"Санкт-Петербург, Купчинская улица, 32 к1 литА",59.8284987,30.3980625,0.5,REVERSE_GEOCODED,node,616507120,osm_pbf,False,found,"Санкт-Петербург, Купчинская улица, 32 к1 литА","Пятёрочка, 32 к1 литА, Купчинская улица, Балканский округ, Санкт-Петербург, Северо-Западный федеральный округ, 192283, Россия",Санкт-Петербург,Балканский округ,,Купчинская улица,32 к1 литА,192283,node,616507120,
Семишагофф,Семишагофф,"улица Вавиловых, 19",60.0244876,30.3952878,0.9,,node,617221049,osm_pbf,False,skipped_existing_address,,,,,,,,,,,
Пятёрочка,Пятёрочка,"Санкт-Петербург, проспект Тореза, 40 к1",60.0071788,30.3520746,0.5,REVERSE_GEOCODED,node,619313181,osm_pbf,False,found,"Санкт-Петербург, проспект Тореза, 40 к1","Пятёрочка, 40 к1, проспект Тореза, Лесной, округ Светлановское, Санкт-Петербург, Северо-Западный федеральный округ, 194223, Россия",Санкт-Петербург,округ Светлановское,Лесной,проспект Тореза,40 к1,194223,node,619313181,
Пятёрочка,Пятёрочка,"Санкт-Петербург, Взлётная улица, 7 к1",59.8120158,30.2904344,0.5,REVERSE_GEOCODED,node,621446068,osm_pbf,False,found,"Санкт-Петербург, Взлётная улица, 7 к1","Пятёрочка, 7 к1, Взлётная улица, Авиагородок, округ Пулковский меридиан, Санкт-Петербург, Северо-Западный федеральный округ, 196210, Россия",Санкт-Петербург,округ Пулковский меридиан,Авиагородок,Взлётная улица,7 к1,196210,node,621446068,
Лента,Торговый комплекс «Лента»,"Санкт-Петербург, Стартовая улица",59.8100127,30.3184135,0.1,SHOP_TAG_MISSING;REVERSE_GEOCODED,node,621455194,osm_pbf,False,found,"Санкт-Петербург, Стартовая улица","Торговый комплекс «Лента», Стартовая улица, Авиагородок, округ Пулковский меридиан, Санкт-Петербург, Северо-Западный федеральный округ, 196246, Россия",Санкт-Петербург,округ Пулковский меридиан,Авиагородок,Стартовая улица,,196246,node,621455194,
