canonical_brand,name,address,latitude,longitude,confidence_score,warnings,osm_type,osm_id,source,is_duplicate
Пятёрочка,Пятёрочка,,59.8786646,30.460559,0.5,ADDRESS_MISSING,node,1196738691,osm_pbf,False
Пятёрочка,Пятёрочка,,59.8642638,30.3993911,0.5,ADDRESS_MISSING,node,1202269455,osm_pbf,False
Пятёрочка,Пятёрочка,,60.2565207,29.5987295,0.5,ADDRESS_MISSING,node,1214441804,osm_pbf,False
Пятёрочка,Пятёрочка,,59.9391178,31.0409233,0.5,ADDRESS_MISSING,node,1226386106,osm_pbf,False
Пятёрочка,Пятёрочка,,58.5428656,31.3046854,0.5,ADDRESS_MISSING,node,1231238008,osm_pbf,False
Пятёрочка,Пятёрочка,,59.6460765,33.5127571,0.5,ADDRESS_MISSING,node,1236459142,osm_pbf,False
Пятёрочка,Пятёрочка,,59.8642899,30.3727861,0.5,ADDRESS_MISSING,node,1239317252,osm_pbf,False
Пятёрочка,Пятёрочка,,59.9592456,30.4904647,0.5,ADDRESS_MISSING,node,1257098039,osm_pbf,False
Пятёрочка,Пятёрочка,,59.9223189,30.2924764,0.5,ADDRESS_MISSING,node,1269368956,osm_pbf,False
Пятёрочка,Пятёрочка,,59.8766777,30.392301,0.5,ADDRESS_MISSING,node,1270991084,osm_pbf,False
Пятёрочка,Пятёрочка,,59.7384425,30.4090713,0.5,ADDRESS_MISSING,node,1271935463,osm_pbf,False
Семишагофф,Семишагофф,,59.9549289,30.4689533,0.5,ADDRESS_MISSING,node,1277224217,osm_pbf,False
Лента,Лента-тур,,59.9308218,30.3595212,0.3,ADDRESS_MISSING,node,1284680689,osm_pbf,False
Пятёрочка,Пятёрочка,,59.6410997,33.5198548,0.5,ADDRESS_MISSING,node,1289295435,osm_pbf,False
Пятёрочка,Пятёрочка,,60.1103194,30.2833753,0.5,ADDRESS_MISSING,node,1289907436,osm_pbf,False
Пятёрочка,Пятёрочка,,59.7236685,30.6089154,0.5,ADDRESS_MISSING,node,1301926947,osm_pbf,False
Семишагофф,Семишагофф,,59.7072805,30.0192264,0.5,ADDRESS_MISSING,node,1312752822,osm_pbf,False
Пятёрочка,Пятёрочка,,60.713706,28.7491857,0.5,ADDRESS_MISSING,node,1313315163,osm_pbf,False
Пятёрочка,Пятёрочка,,59.5473787,30.8640336,0.5,ADDRESS_MISSING,node,1316985240,osm_pbf,False
Пятёрочка,Пятёрочка,,59.9444662,30.2384445,0.5,ADDRESS_MISSING,node,1326613517,osm_pbf,False
Пятёрочка,Пятёрочка,,60.1430538,30.216472,0.5,ADDRESS_MISSING,node,1329401746,osm_pbf,False
Пятёрочка,Пятёрочка,,60.1514798,30.2055917,0.5,ADDRESS_MISSING,node,1329402139,osm_pbf,False
Пятёрочка,Пятёрочка,,60.7059814,28.7675564,0.5,ADDRESS_MISSING,node,1330668999,osm_pbf,False
Пятёрочка,Пятёрочка,,59.92954,32.3000183,0.5,ADDRESS_MISSING,node,1334531715,osm_pbf,False
Пятёрочка,Пятёрочка,,59.9276567,32.3230636,0.5,ADDRESS_MISSING,node,1342105680,osm_pbf,False
Пятёрочка,Пятёрочка,,59.950575,30.4703052,0.5,ADDRESS_MISSING,node,1342428165,osm_pbf,False
Пятёрочка,Пятёрочка,,59.7270262,29.8589624,0.5,ADDRESS_MISSING,node,1351821439,osm_pbf,False
Пятёрочка,Пятёрочка,,60.1202776,30.4990205,0.5,ADDRESS_MISSING,node,1353091293,osm_pbf,False
Семишагофф,Семишагофф,,59.9535095,30.4785478,0.5,ADDRESS_MISSING,node,1359552598,osm_pbf,False
Пятёрочка,Пятёрочка,,60.3724015,30.3689282,0.5,ADDRESS_MISSING,node,1366942875,osm_pbf,False
Пятёрочка,Пятёрочка,,58.4017144,33.2938316,0.5,ADDRESS_MISSING,node,1375601834,osm_pbf,False
Пятёрочка,Пятёрочка,,60.0105714,30.4181474,0.5,ADDRESS_MISSING,node,1378560048,osm_pbf,False
Пятёрочка,Пятёрочка,,59.021,28.185033,0.5,ADDRESS_MISSING,node,1382982302,osm_pbf,False
Реалъ,РеалЪ,,59.8445741,30.2637986,0.5,ADDRESS_MISSING,node,1398268755,osm_pbf,False
Реалъ,РеалЪ,,59.9158688,30.3254833,0.5,ADDRESS_MISSING,node,1400008247,osm_pbf,False
Пятёрочка,Пятёрочка,,59.9720528,30.387506,0.5,ADDRESS_MISSING,node,1410495521,osm_pbf,False
Реалъ,Магазин реальных цен,,59.9276489,30.3163239,0.3,ADDRESS_MISSING,node,1422754864,osm_pbf,False
Пятёрочка,Пятёрочка,,59.5464368,30.8595655,0.5,ADDRESS_MISSING,node,1430793935,osm_pbf,False
